term	content
외환결제리스크	외환결제과정에 내재된 리스크로 국가 간 또는 복수통화 간에 이루어지는 외환결제의 특성상 환율, 시차, 국가 간 상이한 자금이체시스템 및 법률체계 등 여러 요인에 의해 발생한다.
외환동시결제(PVP)	외환동시결제(PVP; Payment versus Payment)는 외환결제과정에서 국가 간 결제시간대의 차이로 인하여 발생하는 외환결제리스크를 최소화하기 위하여 외환거래에 따른 수취통화와 지급통화를 동시에 주고 받는 결제방식으로서 대표적으로 CLS은행이 이러한 방식의 외환결제서비스를 제공하고 있다.
외환보유액	외환보유액(Official Reserve Assets)은 중앙은행이나 정부가 국제수지 불균형을 보전하거나 외환시장 안정을 위해 언제든지 사용할 수 있도록 보유하고 있는 교환성이 있고 유동성이나 시장성이 높은 대외지급준비 자산을 말한다.
외환스왑거래	외환스왑거래란 거래당사자들이 현재의 계약환율에 따라 서로 다른 통화를 교환하고 일정 기간 후 최초 계약시점에서 정한 선물환율에 따라 원금을 재 교환하는 거래를 말한다.
외환시장	외환시장은 좁은 의미에서 외환의 수요와 공급이 연결되는 장소를 말하나 넓은 의미에서는 이러한 장소적 개념뿐만 아니라 외환거래의 형성, 결제 등 외환거래가 정기적 또는 지속적으로 이루어지는 일련의 메커니즘을 포괄한다.
외환전산망	1997년 외환위기 이후 우리나라가 주식 채권시장을 전면 개방하고 외국인직접투자도 전면 허용하는 등 외환거래 자유화조치를 취함에 따라, 국외 여건 변화에 따른 빈번한 외자유출입 등으로 우리경제의 변동성이 확대될 가능성이 크게 높아졌다.
요소비용	하나는 시장가격에 의한 평가이고 다른 하나는 요소비용(factor cost)에 의한 평가이다.
요소비용 국민소득	요소비용에 의한 국민소득(NI at factor cost)은 통상 국민소득(NI)이라 불리며 한 나라의 국민이 제공한 생산요소에서 발생한 소득의 총액, 즉 노동에 대한 대가인 피용자보수와 토지, 자본, 경영에 대한 대가인 영업잉여의 합계로서 고정자본소모와 순생산 및 수입세가 포함되지 않으므로 한 나라 국민이 벌어들인 순수한 소득을 나타내는 지표이다.
우발부채(채무)	과거에 발생한 원인은 있으나 채무의 확정이 미래 불확실한 사건의 발생 여부에 달려있는 잠재적 의무를 의미한다.
우발전환사채(코코본드)	우발전환사채(Contingent Convertible Bond)는 발행기관이 경영개선명령을 받거나 부실금융기관으로 지정될 경우 상각되거나 보통주로 전환되는 조건이 부가되어 있는 채권(조건부자본증권)을 말한다.
운영리스크	부적절하거나 잘못된 내부 프로세스(internal process), 인력, 시스템, 외부사건(external events) 등으로 인해 발생할 수 있는 손실 가능성을 말한다.
워싱턴 컨센서스	1990년대 미국이 중남미 국가들에 대해 제시하였던 미국식 시장경제체제의 확산 전략을 뜻하며 미국이 주도하는 신자유주의의 대명사로도 인식되고 있다.
워크아웃	기업과 금융기관의 협의로 진행되는 재무구조 개선과정 및 결과를 포괄적으로 이르는 말이다.
원/위안 직거래시장	원/위안 직거래시장은 달러를 매개로 하지 않고 원화를 위안화로, 위안화를 원화로 바로 환전할 수 있는 시장을 의미한다.
원금리스크	외환결제리스크 중 가장 대표적인 리스크로 매도통화를 이미 지급하였거나 매도통화의 지급을 취소할 수 없는 상황에서 거래상대방이 파산하는 경우 매입통화를 전액 수취하지 못하는 리스크를 원금리스크(principal risk)라고 한다.
원금이자분리채권(STRIPS)	이표채의 원금과 미래의 이자금액을 분리하여 각각 무이표채(zero coupon bond) 의 형태로 거래할 수 있는 채권을 말한다.
위험가중자산/위험가중치	자기자본비율 산출 시 대차대조표상 자산계정의 단순 합계를 분모로 사용할 경우 자산을 구성하는 각 익스포저에 따른 리스크를 반영할 수 없는 문제가 있다.
위험기준자기자본비율(RBC비율)	금융기관이 영업활동에 따라 부담하게 되는 리스크(위험가중자산)를 자기자본으로 흡수할 수 있는 능력을 평가하는 지표로 금융기관의 건전성과 안전성 정도를 나타내며 자기자본을 위험가중자산으로 나누어 산출한다.
유동비율	단기채무에 충당할 수 있는 유동자산이 얼마나 되는가를 평가하여 기업의 단기지급능 력을 판단할 수 있는 대표적 지표로서 유동비율이 높을수록 단기지급능력이 양호하다고 볼 수 있으나 과다한 유동자산 보유는 자산운용 효율성을 떨어뜨려 수익성을 저해한다. 유동비율 = 유동자산/유동부채 × 100
유동성	유동성(liquidity)이란 자산을 현금으로 전환할 수 있는 정도를 나타내는 용어로 기업의 자산을 필요한 시기에 손실 없이 화폐로 바꿀 수 있는 정도를 나타낸다.
유동성 함정	유동성 함정(liquidity trap)이란 금리 인하를 통한 확장적 통화정책이 투자나 소비 등 실물경제에 영향을 주지 못하는 상태를 말한다.
유동성딜레마	1944년 출범한 브레튼우즈(Bretton Woods)체제는 독자적인 세계통화가 아니라 특정 국가의 통화인 미국 달러화를 기축통화로 하여 성립된 체제였다.
유동성리스크	거래 일방이 일시적인 자금부족으로 인해 정해진 결제 시점에서 결제의무를 이행하지 못함에 따라 거래상대방의 자금조달 계획 등에 악영향을 미치게 되는 위험을 말한다. 유동성 리스크는 거래 상대방이 지급기일이 지난 이후 채무를 결제할 수 있다는 점에서 거래상대방이 파산하여 채권 회수가 영원히 불가능한 신용리스크와 차이가 있으나 실제로는 그 구별이 쉽지 않다.
유동성커버리지비율	유동성커버리지비율(LCR; Liquidity Coverage Ratio)은 단기 유동성 규제비율로서 은행이 유동성 부족에 대비하여 보유한 고유동성자산 규모를 30일간의 유동성스트레스 시나리오 하에서 예상되는 순현금유출액으로 나눈 비율이다.
유럽부흥개발은행(EBRD)	EBRD(European Bank for Reconstruction and Development)는 중동부 유럽국가의 시장경제체제로의 전환 촉진과 경제개발 지원을 목적으로 1991년 3월 설립된 국제금융기구로서 영국 런던에 본부를 두고 있다.
유럽연합(EU)	유럽연합(EU; European Union)은 1991년 12월 유럽공동체 12개국 정상이 유럽연합 조약(일명 마스트리히트조약)의 체결에 합의한 후 1993년 11월 동 조약이 발효됨에 따라 종전의 유럽공동체(EC; European Communities)를 대신하는 지역공동체로서 1994년 1월 정식 출범하였다.
유럽중앙은행(ECB)	유럽연합(EU)의 통화정책을 수행하는 중앙은행으로서 1994년에 설립된 유럽통화기구(EMI)를 승계하여 1998년 6월 출범하였으며 독일 프랑크푸르트에 본부를 두고 있다.
유로달러(Euro dollar)	미국 외의 국가에 소재하는 은행에 예치된 미국 달러화를 말하는데, 런던을 비롯한 유럽의 주요 금융시장에서 많이 거래되고 있다.
유로마켓(Euro market)	뉴욕 동경 등 선진국의 국제금융시장에 대비되는 순수한 의미의 국제금융시장으로, 어떤 통화로 표시된 자금이 해당통화 발행국 이외의 국가에서 거래되는 시장이다.
유리보(EURIBOR)	유리보는 영어 ‘Euro Interbank Offered Rate’의 줄임말이다.
유통시장	유통시장(또는 제2차 시장, secondary market)은 이미 발행된 채권, 주식 등 유가증권이 투자자들 사이에서 매매되는 시장을 말한다.
은선	은행권의 위조방지를 위한 장치의 하나로 은행권용지에 삽입된 플라스틱 또는 금속으로 된 가는 선형필름을 말하며, 삽입된 필름의 문양 또는 글자 등을 확인할 수 있다.
은행경영공시제도	은행의 건전성을 유지하기 위해서는 감독당국의 직접적인 감독 이외에 예금자, 채권자 및 주주 등 이해관계자에 의한 시장규율(market discipline)이 중요하다.
은행인수어음(BA)	은행의 단기무역신용공급방식의 하나로 수출입대금결제를 위해 발행된 환어음을 은 행이 인수(accept)하는 것을 말하며, 은행이 어음상의 지급의무를 부담한 것이므로 그 신용도가 높아 BA 시장에서 자유로이 양도되고 자산보유의 형태로도 이용되고 있다.
을기금(Capital B)	외국은행 국내지점의 동일인 및 동일계열기업군 여신한도 등 은행법상의 영업규제와 관련하여 자기자본을 확대해줌으로써 여신기능이 원활히 수행될 수 있도록 하기 위한 명목상의 자본금으로 대차대조표에는 나타나지 않는다.
의중임금	의중임금이란 유보임금이라고도 하는데 특정 근로자로 하여금 노동을 공급하게 하기 위해 지불해야할 최소한의 임금을 말한다.
이슬람금융	이슬람금융이란 이슬람교 율법인 샤리아(Shariah)에 따라 행해지는 금융을 말한다.
이자보상배율	이는 영업활동에 의한 이익으로 이자비용을 어느 정도나 부담할 수 있는 지, 즉 기업의 이자부담능력을 평가하는 지표로 이용된다.
이전소득수지	이전소득수지는 국제수지표상 경상수지를 구성하는 항목 중의 하나로 거주자와 비거주자 사이에 무상으로 주고받는 거래의 수지를 말한다. 이러한 거래에는 재외교포가 국내 친지에게 보내는 개인송금, 국외 자선단체의 기부금이나 구호물자, 국제기구 출연금 등이 포함된다.
이중통화채(dual currency bond)	국제간 환율 및 금리 전망을 바탕으로 채권발행 통화와 상환 통화를 달리하여 발행하는 채권을 말한다.
이표채	국채 금융채 회사채 등의 채권은 이자지급 방법에 따라 할인채(discount bond), 이표채(coupon bond), 복리채(compound interest bond) 등으로 구분되는데 이표채는 채권의 권면에 이표(쿠폰 coupon)가 붙어 있어 이자지급일에 이를 떼어 제시함으로써 이자를 지급받는 채권을 말한다.
익스포저	리스크에 노출되어 있는 금액을 의미하며 리스크 유형에 따라 시장리스크 익스포저, 신용리스크 익스포저 등으로 구분된다.
인구고령화	인간의 평균 수명이 증가하고 출산율이 감소함에 따라 선진국을 중심으로 고령자의 인구 비율이 점차 높아져 가는 현상 또는 그러한 상태를 고령화라고 한다.
인적자본	개인이 보유한 능력, 기술숙련도, 지식 등을 포괄하는 것으로 노동의 질적 수준을 의미한다.
인터넷뱅킹	인터넷뱅킹이란 고객이 자금이체, 계좌조회 등 은행 업무를 인터넷을 통해 원격지에서 처리할 수 있는 금융서비스이다.
인터넷전문은행	점포없이 또는 소수의 영업점만을 두고 인터넷, 모바일, ATM 등 전자매체를 주된 영업채널로 활용하는 온라인 기반의 은행으로서, 이는 은행서비스를 인터넷으로 제공하는 영업방식을 뜻하는 인터넷뱅킹과는 다른 개념이다.
인플레이션	여기서 물가는 개별 상품의 가격을 평균하여 산출한 물가지수를 의미한다.
일물일가의 법칙	완전경쟁이 이루어질 때 동일한 시기, 동일한 시장에서는 품질이 동일한 상품의 가격이 2개 이상 형성될 수 없다는 법칙이다.
일반특혜관세	개발도상국의 수출 확대 및 공업화 촉진을 위하여, 선진국이 개발도상국으로부터 수입되는 농수산물, 공산품 및 반제품에 대하여는 아무런 조건 없이 “일반적”으로 무관세 또는 저율의 관세를 부과하는 관세 상의 특혜대우를 말한다.
일중RP제도	일중RP제도는 총액결제시스템에서 중앙은행이 참가기관에게 환매조건부증권매매(RP)를 통해 당일 상환을 조건으로 결제에 가용할 수 있는 일중유동성을 제공하는 방법이 다.
일중당좌대출제도	일중당좌대출제도는 한은금융망의 자금결제가 원활히 이루어지도록 은행 참가기관에 대하여 영업시간 중 일시적인 결제부족자금을 실시간으로 지원하는 제도로 2000 년 9월 도입되었다.
입금이체	입금이체(credit transfer)는 지급인이 자신이 거래하는 금융기관에 지급을 지시하여 이체금액을 수취인의 계좌로 입금하도록 하는 계좌이체 방식을 말한다.
자금관리서비스(CMS)공동망	CMS(Cash Management Service)공동망은 금융기관을 통해 대량의 출금 및 입금서비 스를 제공하는 시스템으로 금융결제원이 1996년 8월부터 가동하였다.
자금순환표	국민경제 내에 존재하는 자금의 흐름은 실물거래와 관련하여 일어나는 산업적 유통과 자금조달비용지수(COFIX) 채권과 채무의 변동을 나타내는 금융적 유통으로 나누어 볼 수 있는데 경제활동을 올바르게 분석하기 위해서는 양 거래를 연결하여 동시에 파악하여야 한다.
자금조달비용지수(COFIX)	2000년대 후반까지 CD 금리는 주택담보대출의 주된 준거금리로 활용되어 왔다.
자기띠 카드	신용카드나 전화카드와 같이 얇은 플라스틱 카드에 자성체 물질을 띠 모양으로 입히고 필요한 정보를 기록한 카드이다.
자기자본비율	총자본 중에서 자기자본이 차지하는 비중을 나타내는 대표적인 재무구조 지표이다.
자동안정화장치	정책의 효율성을 점검해야 하며, 효율성이 입증되었다고 해도 경기상황에 대한 정보수집과 예측, 정책입안, 입법절 차 등을 거쳐 실제로 정책을 시행하기까지 많은 시간이 소요된다.
자발적 실업	자발적 실업이란 일할 의사가 있어 고용되기를 원하지만 현재의 임금수준이 낮다고 생각하여 스스로 일하고 있지 않는 상태에 있는 실업이다.
자본거래자유화	자본거래의 자유화란 직접투자나 간접투자를 불문하고 정부 혹은 민간이 제3 국과의 사이에 자본을 사용 목적, 방법 등에 대해 어떠한 간섭도 받지 않은채 자유롭게 공급 또는 도입하고 나아가 동 자본의 원금과 이자의 상환 등에 제한을 받지 않도록 하는 것, 간단히 말해 국경 간의 자본 이동을 자유화하는 것을 의미한다.
자본생산성	재화 및 서비스를 생산하기 위하여 투입한 자본의 양과 그 결과 생산된 산출물의 양의 비율을 자본생산성(capital productivity)이라 한다.
자본시장통합법	증권거래법, 간접투자자산운용업법, 신탁업법 등 자본시장 관련 6개 법률을 통합한 자본시장과 금융투자업에 관한 법률(2009년 2월 시행)을 말한다.
자본이동자유화규약	경제협력개발기구(OECD)는 설립 직후인 1961년 12월 금융 및 실물 부문에서의 자유로운 거래를 촉진시키기 위하여 양대 자유화규약인 자본이동자유화규약과 경상무역외 거래자유화규약을 제정하였다.
자본적정성	자본이란 재무상태표상 자산에서 부채를 차감한 금액으로 순자산(net worth) 으로 불리기도 하며, 납입자본 및 이익잉여금 등으로 구성된다.
자본적지출	자본재에 대한 사용 가능 햇수(내용연수)의 연장을 목적으로 한 대수선 또는 개보수나 생산성 또는 생산되는 재화의 질과 양을 현저하게 향상시키는 지출을 말한다. 즉 기계, 설비, 구조물 또는 기타 고정자산에 대한 주요 개조나 증축이 이에 해당하며 총고정자본 형성(투자)으로 처리한다.
자산건전성 분류	금융기관이 보유한 자산에 대해 건전성 여부를 분석하여 불건전자산의 발생을 예방하고 이미 발생한 불건전자산에 대하여는 조기 정상화를 촉진함으로써 자산운용의 건전화 도모를 주목적으로 하고 있다.
자산유동화	일반적으로 특수목적기구(special purpose vehicle)가 자산보유자로부터 자산을 양도 신탁 받아 이를 기초로 유동화증권을 발행하고 해당 유동화자산의 관리 운용 처분에 의한 수익이나 차입금으로 유동화증권의 원리금 또는 배당금을 지급하는 일련의 행위를 말한다.
자연독점	자연독점(natural monopoly)은 생산규모가 커질수록 생산비용이 계속 낮아지는 규모의 경제(economies of scale)가 존재할 때 발생한다.
자연실업률	1968년 프리드먼(M. Friedman)이 처음 제시한 개념으로, 경제의 균형상태에서 상품시 장과 노동시장 등의 구조적 요인에 의해 결정되는 실업률을 말한다.
자유무역협정(FTA)	협정을 체결한 국가 간에 상품이나 서비스 교역에 대한 관세 및 무역장벽을 철폐함으 로써 무역특혜를 서로 부여하는 협정을 말한다.
자유재	희소성이 높지 않고 아무런 대가를 치르지 않아도 무상으로 얻을 수 있는 재화를 말한다.
작업증명	작업증명(proof-of-work)은 제3자로부터의 서비스 요청(request)이 악의적인 공격(spam 또는 DoS, Denial of Service)이 아님을 증명하기 위해서, 자원이 소모되는 작업을 추가로 수행할 것을 요구하는 것을 의미한다.
잠상	은행권 위조방지를 위한 장치의 하나로 인쇄된 글자나 문양이 보통상태에서는 잘 보이지 않으나 보는 각도나 빛의 방향에 따라 보이는 장치를 말한다.
잠재GDP성장률	잠재GDP성장률은 노동이나 자본 등의 자원을 최대로 활용하였을 때 유지되는 실질 GDP의 증가율로서 한 나라 경제의 최대성장능력을 의미한다.
잠재경제활동인구	취업자도 아니고 실업자도 아닌 상태로 인해 비경제활동인구로 분류되었지만 취업 가능성과 의사 등을 고려하여 잠재적인 측면에서 경제활동인구로 간주되는 잠재취업가능자와 잠재구직자를 합한 개념이다.
장기금융시장(자본시장)	금융시장은 거래 금융상품의 만기를 기준으로 단기금융시장(money market)과 자본시장(capital market)으로 구분되는데 자본시장은 만기 1년 이상의 장기채권이나 만기가 없는 주식이 거래되는 시장을 말한다.
장기침체	장기침체란 경제활동의 장기적 침체라는 뜻으로 대체로 실제GDP가 잠재GDP를 하회하는 가운데 총수요가 억제 되어 있거나 공급측면에서 잠재GDP가 정체되어 있는 상황으로 정의된다.
장내시장	장내시장이란 주식과 같은 유가증권이나 금융상품 등이 표준화된 거래방식에 따라 거래가 이루어지는 조직화된 시장을 말한다.
장단기금리차	장단기금리차란 일정 시점에서 장기금리와 단기금리의 차이를 의미한다.
장외시장	장외시장(OTC; Over-The-Counter)이란 장내시장이 아닌 시장에서 중개기관을 통해 개별적으로 거래가 이루어지는 시장을 말한다.
재산소득	국민계정에서 재산소득(property income)이란 금융자산 또는 자연자원(주로 토지 및 지하자원)의 소유주가 타 경제주체에게 자금을 공급하거나 유형 비생산자산을 사용하도록 하고 그 대가로서 수취하는 소득을 말한다.
재정수지	수입과 지출이 같으면 균형, 수입이 더 많으면 흑자, 지출이 더 많으면 적자라고 한다.
재정정책	정부의 지출과 조세를 정책수단으로 사용하는 정부의 제반 정책을 일컬어 재정정책이라고 한다.
재정환율	자국통화와 여타 외국 통화가 국내외환시장에서 직접적으로 거래되지 않는 경우 각각의 시장에서 결정되는 가격을 이용해 산출하는 환율을 말한다.
저축률/총저축/평균소비성향/평균저축성향	이때 소비율을 백분율이 아닌 계수로 표시한 것을 평균소비성향이라 하며, 평균저축성향은 1에서 평균소비성향을 차감한 것이다.
적기시정조치제도	부실화 소지가 있는 금융기관(은행, 보험사, 저축은행, 금융투자업자, 여전사 등) 에 대하여 부실화가 크게 확대되기 전에 적절한 경영개선조치를 취함으로써 조기에 경영을 정상화시키고 경영정상화 가능성이 없는 금융기관은 퇴출시키는 제도이다.
전방연쇄효과	생산유발계수를 이용하여 각 산업 간의 상호의존관계의 정도를 전산업의 평균치를 기준으로 한 상대적 크기로 표시한 것이 영향력계수와 감응도계수이다.
전산업생산지수	우리나라 경제전체의 모든 산업을 대상으로 재화와 용역에 대한 생산활동의 흐름과 변화를 월별지수로 나타낸 것이다.
전자금융	금융업무에 컴퓨터 및 정보통신기술을 적용하여 자동화 및 전자화(Network 화) 를 구현하는 것을 말한다.
전자금융공동망	전자금융공동망은 ARS공동망을 확대 개편하여 2001년 4월부터 가동된 시스템으로 인터넷뱅킹, 모바일뱅킹 등 전자금융서비스에 대한 중계업무를 처리하고 있다.
전자단기사채	전자단기사채란 자본시장법상의 채무증권으로서 실물이 아닌 전자적으로 발행 유통되는 단기금융상품을 말한다.
전자상거래	인터넷을 이용하여 가상공간에서 광고, 발주, 수주 등의 상거래 및 대금결제를 수행하는 것을 말한다.
전자서명	전자서명은 수기서명의 전자적인 대체물로서 전자 문서의 진정성 및 작성자의 신원을 확인할 수 있도록 암호화한 정보를 말한다.
전자어음	전자어음은 실물어음이 아닌 전자적 형태로 발행된 어음으로 발행인, 수취인, 금액 등 어음 정보를 전자문서 형태로 작성하며 전자어음 관리기관(금융결제원)의 전산시스 템에 등록된 약속어음이다.
전자정보교환제도	금융기관 수납장표의 전자정보교환제도(truncation)란 공과금 납부용지, 지로용지, 어음, 수표 등 금융기관에서 수납하는 각종 장표를 표준화하고 업무처리를 전산화하여 장표 실물의 이동 없이 전산망을 통한 정보(전산데이터)의 이동만으로 교환 업무를 처리하는 제도이다.
전자지급결제대행	전자지급결제대행(PG; Payment Gateway)이란 인터넷 쇼핑몰 등의 전자상거래에서 구매자로부터 대금을 수취하여 판매자에게 지급될 수 있도록 지급결제정보를 송수신하는 것 또는 그 대가의 정산을 대행하거나 매개하는 것을 의미한다.
전자화폐	IC카드 등에 화폐가치를 저장하였다가 상품 등의 구매에 사용할 수 있는 전자지급수단으로서 범용성과 환금성을 갖춘 것을 말한다.
전자화폐공동망	전자화폐공동망은 금융기관이 공동으로 개발한 한국형 전자화폐(K-CASH) 이용시 발생한 금융기관 간 정산금액을 결제하기 위한 시스템으로 2000년 7월 가동되었다.
전환사채(CB)	전환사채(Convertible Bond)란 사채로 발행되었지만, 일정 기간이 지난 후 소유자의 청구에 의하여 발행회사의 주식(보통주)으로 전환할 수 있는 권리가 부여된 사채를 정규직/비정규직 말한다.
정규직/비정규직	정규직은 법적인 개념은 아니지만 기간이 정해져 있지 않은 고용형태로 근로자와 사업주가 직접 근로계약을 체결하고 전일제로 근무하면서 정년까지 보장된다는 의미로 받아들이고 있다.
정보의 비대칭성	시장에서 거래의 당사자인 쌍방 간에 상호작용에 필요한 정보량에 차이가 있는 경우를 말한다.
정부당좌예금계정	정부의 재정활동과 관련하여 발생하는 모든 국고금의 수입과 지출을 관리하는 계정을 정부당좌예금계정이라 한다.
정부실패	시장실패를 교정하기 위한 정부의 시장개입과 규제가 자원배분의 효율성을 높이기보다 오히려 해치는 경우가 있는데 이를 시장실패에 비유하여 정부실패(government failure)라고 한다.
정책시차	정책시차(policy lag)란 어떤 경제정책을 시행해야 하는 원인이 발생하여 동 정책을 수립하는 데까지 걸리는 시간과 아울러 수립된 정책이 실제로 집행되어 정책효과가 나타나는 데 걸리는 시간을 말한다.
정크본드	정크본드(junk bond)란 리스크가 상대적으로 큰 기업들이 자금 조달을 목적으로 발행한 고수익 고위험 채권을 말한다.
제1차 통화조치	한국전쟁의 여파로 산업활동이 크게 위축되고 물가가 급등하는 등 경제가 큰 혼란에 빠짐에 따라 이를 타개하기 위하여 1953년 2월 15일 화폐단위를 ‘원(圓)’에서 ‘환()’으로 변경하고 100대 1로 절하(100圓 → 1)하는 긴급통화조치를 단행하였다.
제2차 통화조치	본 조치는 경제적 목적 달성보다는 ‘원’표시 도입이라는 의의를 가진다.
제로금리정책	금융기관 간에 여유자금과 부족자금을 빌리는 단기금융시장에서 거래되는 초단기 자금의 금리(한국과 일본의 콜금리, 미국의 페더럴펀드금리 등)를 0%에 가까운 수준으로 떨어뜨리는 통화정책을 말한다.
제조업생산능력/가동률지수	제조업 생산능력지수 및 가동률지수는 제조업 부문의 생산능력과 이용 정도를 나타내는 지표이다.
제조업평균가동률갭	통상 가동률은 경기상황이 좋지 않아 제품의 판매량이 감소할 경우 사업체가 생산량을 축소조정하고 불필요한 장비의 가동도 줄여나가면서 하락하게 된다.
조세부담률	조세부담률은 국민계정에서 조세수입이 국민총소득(GNI)에서 차지하는 비중으로 정의된다.
종합금융투자사업자	신성장 동력 산업과 대규모 해외 프로젝트 등을 지원할 수 있는 투자은행 출현을 유도하기 위해 2013년 도입된 제도이다.
죄수의 딜레마	전략적 상황에 처한 경제주체들의 행동을 분석하는데 유용하게 활용되는 게임이론의 한 예로서, 협력적인 선택이 양자에게 최선임에도 불구하고 자신의 이익에 치중한 선택으로 인해 오히려 두 사람 모두에게 바람직하지 않은 결과를 가져오는 상황을 말한다.
주가수익비율(PER)	주가가 실제 기업의 가치에 비해 고평가되어 있는지, 아니면 저평가되어 있는지 여부를 판단할 때 활용하는 대표적인 지표로 주가수익비율(PER; Price Earning Ratio) 이 있다.
주가연계증권(ELS)	주가연계증권(ELS; Equity Linked Security)은 개별 주식의 가격이나 특정 주가지수의 변동에 연계되어 특정조건 충족시 약정된 투자손익이 결정되는 금융투자상품이다.
주가지수	주식시장에서는 매일 수많은 종목이 거래되는데, 이러한 각 개별종목의 가격변동을 종합하여 주식가격의 전반적인 움직임을 파악하기 위하여 작성되는 지수가 주가지수이다.
주가지수선물거래	주가지수선물의 거래유형으로는 헤지거래, 투기거래, 차익거래, 스프레드거래 등이 있다.
주가지수옵션	주가지수옵션(stock index options)은 주가지수(기초자산)를 만기일에 사전에 약정한 가격(행사가격)으로 매입하거나 매도할 수 있는 권리를 거래하는 파생금융상품으로서 매입권리인 콜옵션(call option)과 매도권리인 풋옵션(put option)으로 구분된다.
주당순이익(EPS)	주당순이익(EPS; Earning Per Share)은 기업이 벌어들인 당기순이익을 동 기업이 발행한 총 주식수로 나눈 값을 말한다.
주식시장	주식시장은 주식회사의 지분권을 표시하는 유가증권인 주식이 거래되는 시장이다.
주택저당증권(MBS)	주택저당증권(MBS; Mortgage-Backed Securities)이란 자산유동화증권(ABS)의 일종 으로써 모기지(또는 주택담보대출)를 기초자산으로 발행되는 증권이다.
중간소비	생산과정에서 원재료, 광열비, 간접비 등으로 소비된 비내구재 및 서비스를 말하는 것으로써 고정자산의 유지보수를 위한 지출 등이 포함되고 중고품과 폐품의 순판매액은 차감된다.
중개무역	수출입 양 당사자 간의 물품거래가 제3국 상인의 중개로 이루어지는 무역형태를 말한다.
중계무역	물품을 수입하되 이를 국내에 반입하지 아니하고 가공하지 않은 원형 그대로 직접 제3국으로 수출하는 형태의 무역거래를 말한다. 중계무역업자는 수출입의 당사자로서 자기 책임 하에 수입 및 수출을 하고 대금결제를 한다는 점에서 수출입의 주체가 되지 않고 단순히 중개수수료만을 취득하는 중개무역과 구분된다.
중앙거래당사자	중앙거래당사자(CCP; Central Counterparty)는 증권거래 계약의 매도자에 대해 매수자 역할을, 매수자에 대해서는 매도자 역할을 수행하는 기관으로서 다자 간 차감에 의한 청산 업무를 수행하여 결제 유동성을 절약하는 한편 결제이행보증 서비스를 제공하여 참가자의 리스크관리 부담을 경감시키는 역할을 수행하고 있다.
중앙예탁기관	중앙예탁기관(CSD; Central Securities Depository)은 증권예탁 업무를 집중적으로 수행하는 기관으로서, 예탁자 또는 예탁자의 고객으로부터 직간접적으로 증권을 집중 예탁받아 동 예탁증권에 대한 권리를 관리하는 증권예탁제도의 운영기관을 말한다.
중앙은행	일반적으로 중앙은행은 독점적 발권력을 바탕으로 금융기관에 부족자금을 대출하는 은행의 은행 기능과 정부의 세입 및 세출을 관리하고 필요 시 부족자금을 대출하는 정부의 은행 기능을 수행한다.
중앙은행 여수신제도	중앙은행 여수신제도는 중앙은행이 금융기관을 대상으로 대출 및 예금을 통해 자금의 수급을 조절하는 정책을 말한다.
증거금	증권 현물을 거래할 경우 또는 선물/옵션을 거래할 경우에 매매당사자 일방 또는 매매당사자 쌍방이 매매약정을 이행한다는 증거로 중개회사에 예치하는 금액을 말한다.
증권결제리스크	증권결제리스크는 매매대상 증권의 인도와 대금지급이 예정대로 이행되지 않아 발생할 수 있는 손실가능성을 말하며 원금리스크, 대체비용리스크, 유동성리스크 등으로 구분된다.
증권대금동시결제(DVP)	증권대금동시결제(DVP; Delivery versus Payment)는 중앙예탁기관의 증권결제시스템을 대금결제은행의 자금결제시스템과 연계하여 증권거래시 증권의 실물과 대금을 지급결제 및 시장인프라 위원회(BIS CPMI) 동시에 결제하는 방식이다.
지급	지급(payment)은 개인이나 기업 등 경제주체가 경제거래를 한 후 재화 또는 서비스의 대가로 현금, 수표, 신용카드, 자금이체 등을 이용하여 화폐적 가치에 대한 청구권을 이전하는 행위를 말한다.
지급결제 및 시장인프라 위원회(BIS CPMI)	현재 는 금융시장인프라에 관한 원칙 등 국제기준 제정 및 이행상황 모니터링, 금융시장인 프라 감시와 관련한 정책 개발 및 제안 주도, 중앙은행 간 협력 증진 및 정보교환 촉진 등의 기능을 수행하고 있다.
지급결제시스템	개인 기업 정부 등 경제주체들의 금융거래나 경제활동에서 발생하는 지급결제가 원활히 이루어지도록 해주는 금융시스템의 하부구조로서 중앙은행, 지급결제 참여기관, 관련 법규, 지급수단 및 금융시장 인프라 등으로 구성된다.
지급결제제도 감시	국제결제은행(BIS)의 지급결제 및 시장인프라 위원회는 지급결제제도 감시(oversight of payment systems)를 “기존 시스템 및 운영 예정인 시스템을 모니터링하고 동 시스템에 대해 평가하는 한편, 필요 시 개선을 유도함으로써 동 시스템들의 안전성 및 효율성의 증진을 도모하는 중앙은행의 기능”으로 정의하고 있다.
지급수단	지급수단(payment instruments)은 크게 현금과 현금 이외의 지급수단으로 구분된다.
지급준비자산제도	지급준비자산제도란 한국은행이 필요하다고 인정될 때 금융기관에 대하여 예금지급 준비금과는 별도의 지급준비자산을 보유할 수 있는 제도(한국은행법 제63조)이다.
지급준비제도	중앙은행이 금융기관으로 하여금 예금 등과 같은 채무의 일정비율에 해당하는 금액을 중앙은행에 예치하도록 하는 제도이다.
